"Id","Name","Direction"
"223","c_act_winding_sync_info","server_to_client"
"224","c_group_play_sync","server_to_client"
"225","s_world_task_pick_prestige","client_to_server"
"226","s_group_quit","client_to_server"
"227","c_activity_shop_info","server_to_client"
"228","c_relax_stage_finish","server_to_client"
"229","c_team_ask_for_leader","server_to_client"
"230","c_league_apply","server_to_client"
"231","c_world_task_extra_reward","server_to_client"
"232","c_business_extend_info","server_to_client"
"233","c_league_board_public","server_to_client"
"234","c_pay_info","server_to_client"
"235","s_crosspvp_top_list","client_to_server"
"236","s_peak_battle_group_ready","client_to_server"
"237","s_login_drama","client_to_server"
"238","s_team_back_room","client_to_server"
"239","c_scene_line_info","server_to_client"
"240","c_act_mini_game_enter","server_to_client"
"241","s_stage_time_pause","client_to_server"
"242","c_secret_apply_insert_key","server_to_client"
"243","c_item_update_use_count","server_to_client"
"244","s_friend_send_msg","client_to_server"
"245","s_friend_addblack","client_to_server"
"246","c_user_sync_int","server_to_client"
"247","c_frame_new_correct","server_to_client"
"248","c_grid_box_reset","server_to_client"
"249","c_group_channel_list","server_to_client"
"250","c_all_server_cond_list","server_to_client"
"251","c_group_obj_info","server_to_client"
"252","c_hero_rank_info","server_to_client"
"253","c_city_level_click","server_to_client"
"254","c_act_ach_info","server_to_client"
"255","s_league_pvp_enter_scene","client_to_server"
"256","c_team_clear_apply","server_to_client"
"257","c_secret_area_stage_finish","server_to_client"
"258","c_act_allsvr_stage_info","server_to_client"
"259","c_achieve_open","server_to_client"
"260","s_league_money_log","client_to_server"
"261","c_home_owner_info","server_to_client"
"262","s_friend_getinfo","client_to_server"
"263","s_resource_stage_info","client_to_server"
"264","c_item_del","server_to_client"
"265","c_teach_pvp","server_to_client"
"266","s_league_invite","client_to_server"
"267","s_group_team_apply","client_to_server"
"268","c_friend_sync_qinmi","server_to_client"
"269","c_zhanling_active","server_to_client"
"270","c_avatar_unlock","server_to_client"
"271","c_relax_stage_sync_times","server_to_client"
"272","c_chaos_choose_info","server_to_client"
"273","c_campaign_buy","server_to_client"
"274","c_theater_bonus","server_to_client"
"275","c_team_change_leader","server_to_client"
"276","s_login_account_enter","client_to_server"
"277","s_peak_battle_primary_reset_cd","client_to_server"
"278","s_item_sell","client_to_server"
"279","c_act_attr_update","server_to_client"
"280","s_flipcard_flip","client_to_server"
"281","c_area_event_wipe","server_to_client"
"282","c_skill_spec_reset","server_to_client"
"283","s_group_team_change_leader","client_to_server"
"284","c_attached_card_sync_reform","server_to_client"
"285","s_rogue_benefit_choose","client_to_server"
"286","s_act_get_reward","client_to_server"
"287","c_friend_find","server_to_client"
"288","c_comment_delcomment","server_to_client"
"289","c_act_rescue_top","server_to_client"
"290","c_team_action","server_to_client"
"291","c_userinfo_tag","server_to_client"
"292","c_league_rank_week_no","server_to_client"
"293","s_friend_sync_int","client_to_server"
"294","c_league_tech_join","server_to_client"
"295","c_battlefield_pk_cancel_invite_ret","server_to_client"
"296","s_comment_delcomment","client_to_server"
"297","c_card_feed","server_to_client"
"298","c_rune_oper","server_to_client"
"299","c_income_buff_info","server_to_client"
"300","c_scene_trigger_state","server_to_client"
"301","s_league_pvp_quit","client_to_server"
"302","s_peak_battle_bet_info","client_to_server"
"303","s_base_station_activate","client_to_server"
"304","c_stage_leave","server_to_client"
"305","s_collect_info","client_to_server"
"306","c_offlinepvp_rank_up","server_to_client"
"307","s_card_take_bio_reward","client_to_server"
"308","s_comment_like","client_to_server"
"309","c_hero_rank_star_update","server_to_client"
"310","c_league_tech_modify_notic","server_to_client"
"311","s_chaos_fight_record","client_to_server"
"312","c_act_boss_challenge_svr_point","server_to_client"
"313","s_pay_item_confirm","client_to_server"
"314","c_act_winding_sub_toplist","server_to_client"
"315","s_act_boss_challenge_svr_ach_reward","client_to_server"
"316","s_league_pvp_view_info","client_to_server"
"317","c_act_allsvr_stage_update_boss","server_to_client"
"318","c_league_tech_normal_event_info","server_to_client"
"319","s_comment_list","client_to_server"
"320","s_campaign_sync_pos","client_to_server"
"321","c_rune_lock","server_to_client"
"322","c_theater_finish","server_to_client"
"323","c_group_team_swap_pos","server_to_client"
"324","s_softball_throw","client_to_server"
"325","s_offlinepvp_fight","client_to_server"
"326","s_friend_delfriend","client_to_server"
"327","c_danmu_get_total_amount","server_to_client"
"328","c_lantern_info","server_to_client"
"329","s_peak_battle_get_task_reward","client_to_server"
"330","s_act_return_check_goods","client_to_server"
"331","c_gem_list","server_to_client"
"332","s_master_shop_buy","client_to_server"
"333","c_equip_merge_to","server_to_client"
"334","c_campaign_hero_info_update","server_to_client"
"335","c_scene_player_delete","server_to_client"
"336","s_grid_box_lottery","client_to_server"
"337","c_pressure_stage_detail","server_to_client"
"338","c_home_like","server_to_client"
"339","s_friend_quick_deal_with_apply","client_to_server"
"340","s_exchange_code","client_to_server"
"341","c_usj_enter_stage","server_to_client"
"342","c_once_recharge_info","server_to_client"
"343","c_chaos_season_info","server_to_client"
"344","c_usj_load","server_to_client"
"345","c_league_search","server_to_client"
"346","c_hero_rank_stage_info","server_to_client"
"347","c_act_ach_update","server_to_client"
"348","s_mail_delete","client_to_server"
"349","c_lantern_hit","server_to_client"
"350","s_act_user_info","client_to_server"
"351","c_userinfo_hero_set","server_to_client"
"352","c_team_attr","server_to_client"
"353","c_league_tech_shop_discount","server_to_client"
"354","s_act_eye_sight_enter","client_to_server"
"355","c_userinfo_other","server_to_client"
"356","c_flipcard_update_pathway","server_to_client"
"357","c_scene_play_drama","server_to_client"
"358","s_zhanling_get_reward","client_to_server"
"359","c_card_lock","server_to_client"
"360","s_scene_jump","client_to_server"
"361","s_monthly_card_sign","client_to_server"
"362","c_mail_get_attach","server_to_client"
"363","c_secret_area_cycle_record","server_to_client"
"364","s_league_boss_panel","client_to_server"
"365","c_team_new","server_to_client"
"366","s_act_team_quit","client_to_server"
"367","c_secret_area_players","server_to_client"
"368","s_toplist_page","client_to_server"
"369","s_top_broadcast_secret_rangeId","client_to_server"
"370","s_league_invite_done","client_to_server"
"371","s_rogue_save","client_to_server"
"372","s_battlefield_pk_ready","client_to_server"
"373","c_battlefield_solo_info","server_to_client"
"374","s_act_boss_challenge_join","client_to_server"
"375","c_act_sport_race_info","server_to_client"
"376","s_world_task_reward_rate","client_to_server"
"377","s_danmu_get_total_amount","client_to_server"
"378","c_rogue_pass_end","server_to_client"
"379","s_stage_achievement_info","client_to_server"
"380","s_fenshen_end","client_to_server"
"381","c_act_hero_bp_update","server_to_client"
"382","s_home_unlock","client_to_server"
"383","c_act_double_resource_info","server_to_client"
"384","c_campaign_trigger_on_map_update","server_to_client"
"385","c_league_tech_shop_buy","server_to_client"
"386","s_stage_report","client_to_server"
"387","c_frame_fighter_data","server_to_client"
"388","c_gem_bag_new","server_to_client"
"389","c_usj_get_end_reward","server_to_client"
"390","c_home_send_all_home_data","server_to_client"
"391","c_card_go_to_fight","server_to_client"
"392","c_campaign_property_add","server_to_client"
"393","s_battlefield_task_replace","client_to_server"
"394","c_interaction_from_other","server_to_client"
"395","c_act_periodic_task_update","server_to_client"
"396","s_area_event_reset_stage_times","client_to_server"
"397","c_crosspvp_hot","server_to_client"
"398","s_task_submit","client_to_server"
"399","c_comment_delreply","server_to_client"
"400","s_welfare_strength_supply","client_to_server"
"401","c_stage_back_finish","server_to_client"
"402","c_league_simple_info","server_to_client"
"403","s_league_log","client_to_server"
"404","c_level_up","server_to_client"
"405","c_group_team_kick","server_to_client"
"406","s_home_floor_lvup","client_to_server"
"407","s_equip_attr_switch","client_to_server"
"408","c_mail_get_list","server_to_client"
"409","c_offlinepvp_info","server_to_client"
"410","s_userinfo_birthday_hide","client_to_server"
"411","s_emergency_sync","client_to_server"
"412","c_task_enter_stage","server_to_client"
"413","c_share_reward","server_to_client"
"414","s_crosspvp_ace","client_to_server"
"415","c_stage_achievement_info","server_to_client"
"416","c_league_pvp_apply","server_to_client"
"417","c_stage_activity_reward","server_to_client"
"418","s_league_appoint","client_to_server"
"419","c_friend_send_msg","server_to_client"
"420","c_chaos_settle","server_to_client"
"421","c_act_team_task","server_to_client"
"422","s_crosspvp_note","client_to_server"
"423","s_stage_theater","client_to_server"
"424","s_usj_enter_stage","client_to_server"
"425","c_world_task_ignore_auto_finish_tips","server_to_client"
"426","c_group_channel_load","server_to_client"
"427","c_peak_battle_group_champion","server_to_client"
"428","s_attached_card_reset","client_to_server"
"429","c_pay_info_end","server_to_client"
"430","s_platform_access_friend_share_invite_reward","client_to_server"
"431","s_night_fight_enter_fight","client_to_server"
"432","c_act_secret_info","server_to_client"
"433","c_league_about","server_to_client"
"434","c_fenshen_start","server_to_client"
"435","s_userinfo_location","client_to_server"
"436","c_time_sync","server_to_client"
"437","c_act_consume_info","server_to_client"
"438","s_grid_box_reset","client_to_server"
"439","s_platform_access_friend_share","client_to_server"
"440","c_act_sport_race_result","server_to_client"
"441","c_peak_battle_pick_hero","server_to_client"
"442","c_shot_info","server_to_client"
"443","c_battlefield_matched","server_to_client"
"444","s_card_feed","client_to_server"
"445","c_friend_choose","server_to_client"
"446","s_league_buy_boss_challenge_times","client_to_server"
"447","c_night_fight_fight_over","server_to_client"
"448","s_battlefield_stmatch","client_to_server"
"449","c_league_active_star","server_to_client"
"450","c_crosspvp_open_time","server_to_client"
"451","c_group_all_finish_loading","server_to_client"
"452","c_battlefield_task_info","server_to_client"
"453","s_frame_correct","client_to_server"
"454","c_stage_finish_loading","server_to_client"
"455","s_league_tech_modify_sign","client_to_server"
"456","s_teach_finish","client_to_server"
"457","c_league_tech_tree_panel","server_to_client"
"458","c_league_modify_notic","server_to_client"
"459","s_team_add_robot","client_to_server"
"460","s_interaction_config_add","client_to_server"
"461","s_fenshen_aid_reward","client_to_server"
"462","c_group_team_member_ready","server_to_client"
"463","s_attached_card_compose","client_to_server"
"464","c_battlefield_pk_handle_ret","server_to_client"
"465","c_chat_private","server_to_client"
"466","s_login_player_enter","client_to_server"
"467","s_league_board_public","client_to_server"
"468","s_rogue_inner_benefit_info","client_to_server"
"469","c_group_enter_area","server_to_client"
"470","c_comment_list","server_to_client"
"471","s_client_shader","client_to_server"
"472","c_office_info","server_to_client"
